selectionIndex,seedOffset,datasetSeed,K,J,validationNRMSE,ridgeLambda
1,101,102041,0,0,0.300151413962973,1
1,101,102041,0,0.65,0.289176986112695,1
1,101,102041,0,0.8,0.306551493587265,1
1,101,102041,0,0.95,0.322509688563588,1
1,101,102041,-0.02,0,0.310298132029765,1
1,101,102041,-0.02,0.65,0.284592959991273,1
1,101,102041,-0.02,0.8,0.306453649038614,1
1,101,102041,-0.02,0.95,0.321949729097677,1
2,102,103050,0,0,0.318779919847279,1
2,102,103050,0,0.65,0.318187672894536,1
2,102,103050,0,0.8,0.323299666091,1
2,102,103050,0,0.95,0.343965365364599,1
2,102,103050,-0.02,0,0.346736880551813,1
2,102,103050,-0.02,0.65,0.316166140780481,1
2,102,103050,-0.02,0.8,0.323980697893453,1
2,102,103050,-0.02,0.95,0.3441242691873,1
3,103,104059,0,0,0.29721378688787,1
3,103,104059,0,0.65,0.279033417282535,1
3,103,104059,0,0.8,0.285017028937669,1
3,103,104059,0,0.95,0.296223450588407,1
3,103,104059,-0.02,0,0.320596316675839,1
3,103,104059,-0.02,0.65,0.286741622209428,1
3,103,104059,-0.02,0.8,0.287551786085969,1
3,103,104059,-0.02,0.95,0.297224362251586,1
4,104,105068,0,0,0.297862605425708,1
4,104,105068,0,0.65,0.261904140215223,1
4,104,105068,0,0.8,0.283764576844266,1
4,104,105068,0,0.95,0.294730142122212,1
4,104,105068,-0.02,0,0.310222996884094,1
4,104,105068,-0.02,0.65,0.263856322330277,1
4,104,105068,-0.02,0.8,0.284504088506414,1
4,104,105068,-0.02,0.95,0.295314962066207,1
5,105,106078,0,0,0.309426542633235,1
5,105,106078,0,0.65,0.286870924457663,1
5,105,106078,0,0.8,0.301534613151683,1
5,105,106078,0,0.95,0.310452380483142,1
5,105,106078,-0.02,0,0.318403654278445,1
5,105,106078,-0.02,0.65,0.298129859434836,1
5,105,106078,-0.02,0.8,0.302138041889313,1
5,105,106078,-0.02,0.95,0.310863106777204,1
6,106,107087,0,0,0.315072295357832,1
6,106,107087,0,0.65,0.283994416971469,1
6,106,107087,0,0.8,0.308508578888755,1
6,106,107087,0,0.95,0.331170261667313,1
6,106,107087,-0.02,0,0.310717652081153,1
6,106,107087,-0.02,0.65,0.28119333322235,1
6,106,107087,-0.02,0.8,0.310833078636484,1
6,106,107087,-0.02,0.95,0.33186942458973,1
7,107,108096,0,0,0.311162328961626,1
7,107,108096,0,0.65,0.288339522473077,1
7,107,108096,0,0.8,0.311259635009569,1
7,107,108096,0,0.95,0.333575373341722,1
7,107,108096,-0.02,0,0.321969375957098,1
7,107,108096,-0.02,0.65,0.301768503199035,1
7,107,108096,-0.02,0.8,0.311546356206901,1
7,107,108096,-0.02,0.95,0.334249032183161,1
8,108,109104,0,0,0.29616998680906,1
8,108,109104,0,0.65,0.272339713113193,1
8,108,109104,0,0.8,0.290619264431592,1
8,108,109104,0,0.95,0.300014170967005,1
8,108,109104,-0.02,0,0.30790521753287,1
8,108,109104,-0.02,0.65,0.270671366344612,1
8,108,109104,-0.02,0.8,0.292586453031945,1
8,108,109104,-0.02,0.95,0.299265891571033,1
9,109,110114,0,0,0.311858987590217,1
9,109,110114,0,0.65,0.319416899020013,1
9,109,110114,0,0.8,0.343845939048252,1
9,109,110114,0,0.95,0.359703992739728,1
9,109,110114,-0.02,0,0.32413120482377,1
9,109,110114,-0.02,0.65,0.325376724789728,1
9,109,110114,-0.02,0.8,0.343301606703392,1
9,109,110114,-0.02,0.95,0.357493700548109,1
10,110,111122,0,0,0.304571474972021,1
10,110,111122,0,0.65,0.277061780470239,1
10,110,111122,0,0.8,0.278969523886918,1
10,110,111122,0,0.95,0.301924993267871,1
10,110,111122,-0.02,0,0.319146414875645,1
10,110,111122,-0.02,0.65,0.28084858920391,1
10,110,111122,-0.02,0.8,0.278418928653203,1
10,110,111122,-0.02,0.95,0.302021293615214,1
